Warehouse,Warehouse Organisation,Catalog,Category,Category Code,Item Name,Item Code,Brand,Model,Year,Unit of Measure,Pack,Pack Quantity,Weight,Length,Width,Height,Volume,Quantity,Received Date,Expiry Date,Unit,Unit Value,Currency,Supplier/Donor,Owned By (Organization/Branch),Tracking Number,Bin,Comments
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 71,,,,,boxes,,,,,,,,1,4/26/2012,,,5630,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 72,,,,,boxes,,,,,,,,1,4/26/2012,,,7445,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 73,,,,,boxes,,,,,,,,1,4/26/2012,,,4419,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 74,,,,,boxes,,,,,,,,1,4/26/2012,,,8703,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 75,,,,,boxes,,,,,,,,1,4/26/2012,,,9249,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 76,,,,,boxes,,,,,,,,1,4/26/2012,,,8104,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 77,,,,,boxes,,,,,,,,1,4/26/2012,,,6076,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 78,,,,,boxes,,,,,,,,1,4/26/2012,,,8315,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 79,,,,,boxes,,,,,,,,1,4/26/2012,,,8266,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 80,,,,,boxes,,,,,,,,1,4/26/2012,,,7259,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 81,,,,,boxes,,,,,,,,1,4/26/2012,,,4680,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 82,,,,,boxes,,,,,,,,1,4/26/2012,,,8677,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 83,,,,,boxes,,,,,,,,1,4/26/2012,,,7871,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 84,,,,,boxes,,,,,,,,1,4/26/2012,,,9626,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 85,,,,,boxes,,,,,,,,1,4/26/2012,,,8968,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 86,,,,,boxes,,,,,,,,1,4/26/2012,,,7172,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 87,,,,,boxes,,,,,,,,1,4/26/2012,,,8297,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 88,,,,,boxes,,,,,,,,1,4/26/2012,,,8323,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 89,,,,,boxes,,,,,,,,1,4/26/2012,,,4215,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 90,,,,,boxes,,,,,,,,1,4/26/2012,,,5861,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 91,,,,,boxes,,,,,,,,1,4/26/2012,,,7539,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 92,,,,,boxes,,,,,,,,1,4/26/2012,,,6316,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 93,,,,,boxes,,,,,,,,1,4/26/2012,,,8273,PHP,Lutheran World Relief,,,,for allocation
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,Health Kit Box# 94,,,,,boxes,,,,,,,,1,4/26/2012,,,7275,PHP,Lutheran World Relief,,,,for allocation
