Warehouse,Warehouse Organisation,Catalog,Category,Category Code,Item Name,Item Code,Brand,Model,Year,Unit of Measure,Pack,Pack Quantity,Weight,Length,Width,Height,Volume,Quantity,Received Date,Expiry Date,Unit,Unit Value,Currency,Supplier/Donor,Owned By (Organization/Branch),Tracking Number,Bin,Comments
NROC Warehouse C,Warehouse C,,Houseware Supplies,,"Mats, plastic, 72x80, family size",,,,,pcs,,,,,,,,5755,,,,154,PHP,A. M. Ramos,,,,
NROC Warehouse C,Warehouse C,,Sleeping Gear,,"Mosquito Net, nylon, super extra, asst color1",,,,,pcs,,,,,,,,1598,,,,188.88,PHP,Lokal Industries,,,,
NROC Warehouse C,Warehouse C,,Sleeping Gear,,"Mosquito Net, nylon, super extra, asst color2",,,,,pcs,,,,,,,,6500,,,,190,PHP,A. M. Ramos,,,,
NROC Warehouse C,Warehouse C,,Sleeping Gear,,"Mosquito Net, nylon, super extra, asst color3",,,,,pcs,,,,,,,,10000,,,,178.88,PHP,Lokal Industries,,,,
NROC Warehouse A,Warehouse A,,Food Items,,"Noodles, 55gx72pcs",,,,,cs,,,,,,,,2,,,,468,PHP,Ms. Santamira,,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"Paint, Acrylic Emulsion (18liters/can)",,,,,cans,,,,,,,,15,,,,1350,PHP,"Phil. Consulate Jeddah, Saudi (RN 2010-07-005)",,,,
NROC Warehouse C,Warehouse C,,Clothings,,"Panty, ladies 1packx6pcs/pack (S-25packsx6pcs = 150pcs; M-23packsx6pcs = 138pcs; L-13packsx6=78pcs; XL-4packsx6=24pcs)",,,,,box,,,,,,,,1,,,,11700,PHP,Winace Holding Company,,,,
NROC Warehouse C,Warehouse C,,Houseware Supplies,,"Plate, stainless",,,,,pcs,,,,,,,,88,,,,0,PHP,UNICEF,,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Protective suit,,,,,pcs,,,,,,,,744,,,,1000,PHP,China (RN 07-06-007),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"PVC Cap, 2ﾔ ",,,,,pcs,,,,,,,,1220,,,,15,PHP,China (RN 07-12-015),,,,
