Warehouse,Warehouse Organisation,Catalog,Category,Category Code,Item Name,Item Code,Brand,Model,Year,Unit of Measure,Pack,Pack Quantity,Weight,Length,Width,Height,Volume,Quantity,Received Date,Expiry Date,Unit,Unit Value,Currency,Supplier/Donor,Owned By (Organization/Branch),Tracking Number,Bin,Comments
NROC C WAREHOUSE,,,Clothings,,"Jacket for male, winter, 165-185cm (color: light dark + orange)",,,,,pcs,,,,,,,,200,8/30/2012,,,60,PHP,Jordan Hashemite Charity Organization,,,,
NROC C WAREHOUSE,,,Clothings,,"T shirt ladies/short sleeves, used",,,,,kgs,,,,,,,,2331,12/12/2009,,,50,PHP,BOC c/o 400 bales (RN 2011-06-004),,,,
NROC C WAREHOUSE,,,Clothings,,"Trench coat, used (135 pcs)",,,,,kgs,,,,,,,,143,8/2/2008,,,50,PHP,BOC c/o 140 bales (RN 09-03-002),,,,
NROC C WAREHOUSE,,,Clothings,,"Trench coat, used (75kilos)",,,,,pcs,,,,,,,,61,4/11/2011,,,30,PHP,BOC c/o 540 bales (RN 2011-06-004),,,,
NROC C WAREHOUSE,,,Houseware Supplies,,"Books, used, assorted",,,,,pcs,,,,,,,,146,1/20/2012,,,10,PHP,TV5,,,,
NROC B WAREHOUSE,,,Houseware Supplies,,"Casserole, Milton Insulated, 3pcs",,,,,set,,,,,,,,1,5/18/2012,,,200,PHP,Filipino Community in Kuwait c/o OCD NDRRMC,,,,
NROC B WAREHOUSE,,,Houseware Supplies,,Glass mug,,,,,pcs,,,,,,,,6,5/18/2012,,,30,PHP,Filipino Community in Kuwait c/o OCD NDRRMC,,,,
NROC B WAREHOUSE,,,Houseware Supplies,,Laddles and stirrer,,,,,pcs,,,,,,,,151,12/12/2011,,,50,PHP,UNICEF,,,,
NROC B WAREHOUSE,,,Houseware Supplies,,"Plate, stainless",,,,,pcs,,,,,,,,88,12/12/2011,,,40,PHP,UNICEF,,,,
NROC B WAREHOUSE,,,Houseware Supplies,,Saucer,,,,,pcs,,,,,,,,12,5/18/2012,,,25,PHP,Filipino Community in Kuwait c/o OCD NDRRMC,,,,
NROC B WAREHOUSE,,,Houseware Supplies,,Shot glass,,,,,pcs,,,,,,,,12,5/18/2012,,,25,PHP,Filipino Community in Kuwait c/o OCD NDRRMC,,,,
NROC B WAREHOUSE,,,Houseware Supplies,,Tea Cup,,,,,pcs,,,,,,,,12,5/18/2012,,,25,PHP,Filipino Community in Kuwait c/o OCD NDRRMC,,,,
NROC C WAREHOUSE,,,Clothings,,"Adult Brief, Pampers, Large, white (108pcs/case) Disposable",,,,,pcs,,,,,,,,108,3/8/2012,,,8,PHP,Second Harvest Japan,,,,
NROC C WAREHOUSE,,,Clothings,,"Adult Brief, Pampers, Small, white (88pcs/case) Disposable",,,,,pcs,,,,,,,,132,3/8/2012,,,6,PHP,Second Harvest Japan,,,,
NROC C WAREHOUSE,,,Clothings,,"Adult Diaper, Molicare Classic Plus, small, 24x34""",,,,,pcs,,,,,,,,40,3/8/2012,,,4.5,PHP,Second Harvest Japan,,,,
NROC C WAREHOUSE,,,Clothings,,"Adult Diaper, Molicare Classic Plus, small, 24x34"", ",,,,,pcs,,,,,,,,200,3/8/2012,,,4.5,PHP,Second Harvest Japan,,,,
NROC C WAREHOUSE,,,Houseware Supplies,,"Brochure, Innovation 2010 Research Report",,,,,pcs,,,,,,,,50,3/8/2012,,,20,PHP,Second Harvest Japan,,,,
NROC B WAREHOUSE,,,Medical Equipment/Supplies,,"Crutch, forearm, aluminum, used (4ft)",,,,,pair,,,,,,,,1,8/10/2010,,,300,PHP,"Dubai, UAE (RN 2010-08-006)",,,,
NROC B WAREHOUSE,,,Medical Equipment/Supplies,,"Crutch, wooden, used",,,,,pair,,,,,,,,2,1/20/2012,,,50,PHP,TV5,,,,
NROC B WAREHOUSE,,,Medical Equipment/Supplies,,"Gloves, latex, 10packsx100pairs",,,,,box,,,,,,,,9,3/8/2012,,,"10,000.00",PHP,Second Harvest Japan,,,,
NROC B WAREHOUSE,,,Medical Equipment/Supplies,,"Gloves, latex",,,,,pair,,,,,,,,600,3/8/2012,,,10,PHP,Second Harvest Japan,,,,
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,"INFLATABLE MATTRESS, Therma Rest, Medium Lite",,,,,pcs,,,,,,,,14,11/24/2011,,,"3,437.65",PHP,Second Harvest Japan,,,,
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,"SELF-INFLATING MATTRESS, Therma Rest",,,,,pcs,,,,,,,,6,11/24/2011,,,"3,500.00",PHP,Second Harvest Japan,,,,
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,"Trim Fitted Brief, Large, 42x56"" (Disposable)",,,,,pcs,,,,,,,,18,3/8/2012,,,15,PHP,Second Harvest Japan,,,,
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,"Undergarment, Attends Beltress, 4packsx30pcs/box",,,,,pack,,,,,,,,16,3/8/2012,,,40,PHP,Second Harvest Japan,,,,
NROC C WAREHOUSE,,,Medical Equipment/Supplies,,"Undergarment, Attends, belted sytle diaper",,,,,pcs,,,,,,,,120,3/8/2012,,,10,PHP,Second Harvest Japan,,,,
NROC C WAREHOUSE,,,Clothings,,"Undergarment, Attends, for Adult, medium, 30pcs/case (disposable)",,,,,pcs,,,,,,,,360,3/8/2012,,,10,PHP,Second Harvest Japan,,,,
NROC C WAREHOUSE,,,Clothings,,"Underwear, Depend, 34""x64"" (86cm-117cm), disposable",,,,,pcs,,,,,,,,20,3/8/2012,,,10,PHP,Second Harvest Japan,,,,
NROC C WAREHOUSE,,,Clothings,,"Underwear, Depend, for adult, 48""-64"" (122cm-163cm), large, (disposable)",,,,,pcs,,,,,,,,14,3/8/2012,,,10,PHP,Second Harvest Japan,,,,
